Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2	Miền
Phú Thọ	('21.33847', '105.3673')	35.92	50	3.18	999	04/07/2021 16:00	27		8.0	27.0	8.0	13.0		1
Thái Nguyên	('21.593151', '105.8431043')	35.88	58	4.34	1000	04/07/2021 16:00	65	4.0	4.0		53.0	65.0	7.0	1
Hà Nội	('21.0491', '105.8831')	36.01	54	5.91	1000	04/07/2021 16:00	28	5.0	11.0	28.0	13.0	13.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	36.06	56	6.22	1000	04/07/2021 16:00	70	1.0	2.0	22.0	52.0	70.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	36.06	56	6.22	1000	04/07/2021 15:00	62	9.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	21.49	95	4.54	1007	04/07/2021 17:00	39	6.0	12.0	4.0	32.0	39.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	32.0	70	3.6	1004	04/07/2021 17:00	35	2.0	10.0	25.0	23.0	35.0	28.0	2
Cao Bằng	('22.6782', '106.245')	29.21	85	0.63	1002	04/07/2021 17:00	169		0.0	1.0	141.0	169.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	34.92	60	4.28	1000	04/07/2021 17:00	25		7.0	25.0	8.0	13.0		1
Thái Nguyên	('21.593151', '105.8431043')	34.88	65	3.99	1001	04/07/2021 17:00	70	5.0	7.0		55.0	70.0	7.0	1
Hà Nội	('21.0491', '105.8831')	35.01	59	5.5	1000	04/07/2021 17:00	25	5.0	11.0	25.0	13.0	12.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	35.06	62	6.03	1000	04/07/2021 17:00	73	1.0	5.0	19.0	53.0	73.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	35.06	62	6.03	1000	04/07/2021 16:00	63	9.0		20.0	1.0	2.0	63.0	1
Gia Lai	('13.998599', '107.996482')	20.52	96	2.13	1008	04/07/2021 18:00	47	6.0	13.0	4.0	39.0	47.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	31.0	74	1.54	1005	04/07/2021 18:00	37	3.0	11.0	21.0	23.0	37.0	28.0	2
Cao Bằng	('22.6782', '106.245')	27.85	87	0.7	1002	04/07/2021 18:00	182		0.0	1.0	142.0	182.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	64	4.48	1000	04/07/2021 18:00	31		11.0	31.0	9.0	14.0		1
Thái Nguyên	('21.593151', '105.8431043')	33.92	64	4.48	1000	04/07/2021 18:00	76	6.0	9.0		58.0	76.0	5.0	1
Hà Nội	('21.0491', '105.8831')	34.01	61	5.38	1001	04/07/2021 18:00	19	8.0	11.0	19.0	14.0	14.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.88	70	3.34	1001	04/07/2021 18:00	75	1.0	5.0	17.0	54.0	75.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	33.88	70	3.34	1001	04/07/2021 17:00	63	9.0		20.0	1.0	2.0	63.0	1
Gia Lai	('13.998599', '107.996482')	19.62	95	1.39	1009	04/07/2021 19:00	49	6.0	14.0	3.0	42.0	49.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	31.0	79	1.54	1005	04/07/2021 19:00	35	3.0	10.0	23.0	21.0	35.0	29.0	2
Cao Bằng	('22.6782', '106.245')	27.36	89	1.63	1004	04/07/2021 19:00	287		0.0	1.0	262.0	287.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	66	4.25	1002	04/07/2021 19:00	24		9.0	24.0	11.0	18.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	72	3.17	1003	04/07/2021 19:00	84	9.0	14.0		61.0	84.0	6.0	1
Hà Nội	('21.0491', '105.8831')	33.01	68	5.24	1003	04/07/2021 19:00	17	8.0	10.0	17.0	13.0	15.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	71	5.28	1003	04/07/2021 19:00	88	2.0	12.0	15.0	57.0	88.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	71	5.28	1003	04/07/2021 18:00	63	9.0		20.0	1.0	2.0	63.0	1
Gia Lai	('13.998599', '107.996482')	19.59	94	1.18	1010	04/07/2021 20:00	51	4.0	9.0	4.0	39.0	51.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	31.0	74	1.54	1005	04/07/2021 20:00	35	4.0	11.0	18.0	21.0	35.0	28.0	2
Cao Bằng	('22.6782', '106.245')	27.02	90	1.27	1005	04/07/2021 20:00	291		0.0	1.0	258.0	291.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	73	4.23	1003	04/07/2021 20:00	28		6.0	28.0	14.0	22.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	76	3.05	1004	04/07/2021 20:00	97	9.0	11.0		64.0	97.0	10.0	1
Hà Nội	('21.0491', '105.8831')	32.01	73	4.08	1003	04/07/2021 20:00	16	8.0	11.0	11.0	15.0	16.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	76	3.96	1003	04/07/2021 20:00	87	1.0	8.0	14.0	57.0	87.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	76	3.96	1003	04/07/2021 19:00	63	9.0		18.0	1.0	2.0	63.0	1
Gia Lai	('13.998599', '107.996482')	31.01	76	3.86	1004	04/07/2021 21:00	50	4.0	11.0	5.0	37.0	50.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	19.53	93	0.51	1010	04/07/2021 21:00	32	4.0	10.0	16.0	19.0	32.0	29.0	2
Cao Bằng	('22.6782', '106.245')	19.53	93	0.51	1010	04/07/2021 21:00	295		0.0	1.0	228.0	295.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	81	3.86	1004	04/07/2021 21:00	24		5.0	24.0	14.0	24.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	79	2.3	1005	04/07/2021 21:00	102	12.0	14.0		66.0	102.0	21.0	1
Hà Nội	('21.0491', '105.8831')	31.01	76	3.86	1004	04/07/2021 21:00	17	7.0	11.0	10.0	15.0	17.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	78	3.92	1004	04/07/2021 21:00	80	1.0	17.0	12.0	54.0	80.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	78	3.92	1004	04/07/2021 20:00	62	9.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	19.28	93	1.49	1010	04/07/2021 22:00	37	2.0	7.0	8.0	29.0	37.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	70	1.54	1006	04/07/2021 22:00	38	4.0	11.0	11.0	27.0	38.0	28.0	2
Cao Bằng	('22.6782', '106.245')	26.41	93	0.9	1005	04/07/2021 22:00	221		0.0	1.0	157.0	221.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	85	2.94	1004	04/07/2021 22:00	23		4.0	23.0	12.0	22.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	82	1.67	1005	04/07/2021 22:00	113	8.0	12.0		69.0	113.0	18.0	1
Hà Nội	('21.0491', '105.8831')	31.01	77	3.48	1004	04/07/2021 22:00	16	6.0	11.0	12.0	13.0	16.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	80	3.7	1005	04/07/2021 22:00	78	1.0	19.0	13.0	53.0	78.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	80	3.7	1005	04/07/2021 21:00	51	9.0		20.0	1.0	2.0	51.0	1
Gia Lai	('13.998599', '107.996482')	18.93	93	1.79	1009	04/07/2021 23:00	28	2.0	5.0	9.0	22.0	28.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	69	2.57	1005	04/07/2021 23:00	38	3.0	11.0	9.0	29.0	38.0	28.0	2
Cao Bằng	('22.6782', '106.245')	26.09	94	1.22	1006	04/07/2021 23:00	176		0.0	1.0	117.0	176.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	85	1.97	1004	04/07/2021 23:00	28		3.0	28.0	11.0	20.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	84	1.54	1005	04/07/2021 23:00	132	7.0	8.0		75.0	132.0	11.0	1
Hà Nội	('21.0491', '105.8831')	31.01	80	3.4	1004	04/07/2021 23:00	14	3.0	10.0	14.0	13.0	14.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	81	3.89	1004	04/07/2021 23:00	76	1.0	11.0	13.0	53.0	76.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	81	3.89	1004	04/07/2021 22:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	27.25	67	1.79	1008	05/07/2021 10:00	35	3.0	7.0	11.0	35.0	30.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	34.0	49	1.03	1005	05/07/2021 10:00	42	8.0	11.0	17.0	41.0	42.0	38.0	2
Cao Bằng	('22.6782', '106.245')	30.67	71	2.65	1006	05/07/2021 10:00	107		0.0	1.0	107.0	84.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	27.92	59	3.72	1004	05/07/2021 10:00	21		5.0	19.0	12.0	21.0		1
Thái Nguyên	('21.593151', '105.8431043')	27.88	68	4.05	1005	05/07/2021 10:00	49	5.0	6.0		38.0	49.0	7.0	1
Hà Nội	('21.0491', '105.8831')	28.01	48	5.19	1004	05/07/2021 10:00	16	8.0	11.0	10.0	14.0	16.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	28.06	51	5.94	1005	05/07/2021 10:00	79	1.0	10.0	15.0	58.0	79.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	28.06	51	5.94	1005	05/07/2021 09:00	61	7.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	25.58	77	1.95	1007	05/07/2021 11:00	31	2.0	7.0	13.0	31.0	26.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	36.0	44	1.54	1005	05/07/2021 11:00	39	5.0	11.0	23.0	35.0	36.0	39.0	2
Cao Bằng	('22.6782', '106.245')	32.26	64	2.95	1005	05/07/2021 11:00	118		0.0	1.0	111.0	118.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	25.92	55	3.69	1004	05/07/2021 11:00	24		5.0	24.0	9.0	16.0		1
Thái Nguyên	('21.593151', '105.8431043')	25.88	62	3.88	1004	05/07/2021 11:00	53	4.0	6.0		40.0	53.0	8.0	1
Hà Nội	('21.0491', '105.8831')	26.01	49	4.86	1003	05/07/2021 11:00	16	8.0	11.0	9.0	16.0	15.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	26.06	51	5.42	1004	05/07/2021 11:00	80	1.0	8.0	15.0	57.0	80.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	26.06	51	5.42	1004	05/07/2021 10:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	25.59	79	1.39	1007	05/07/2021 12:00	26	2.0	6.0	14.0	26.0	23.0	13.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	49	1.03	1004	05/07/2021 12:00	37	5.0	11.0	31.0	32.0	34.0	37.0	2
Cao Bằng	('22.6782', '106.245')	31.62	70	3.33	1004	05/07/2021 12:00	95		0.0	1.0	95.0	91.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	25.92	56	3.24	1003	05/07/2021 12:00	19		3.0	19.0	7.0	12.0		1
Thái Nguyên	('21.593151', '105.8431043')	25.88	61	3.64	1003	05/07/2021 12:00	55	4.0	4.0		43.0	55.0	4.0	1
Hà Nội	('21.0491', '105.8831')	26.01	49	5.09	1003	05/07/2021 12:00	11	5.0	11.0	11.0	11.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	26.06	49	5.9	1003	05/07/2021 12:00	81	1.0	5.0	14.0	81.0	77.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	26.06	49	5.9	1003	05/07/2021 11:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	22.82	90	1.76	1005	05/07/2021 15:00	22	3.0	9.0	10.0	22.0	20.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	33.0	62	3.09	1002	05/07/2021 15:00	32	4.0	10.0	26.0	25.0	32.0	27.0	2
Cao Bằng	('22.6782', '106.245')	30.25	81	3.01	1003	05/07/2021 15:00	69		0.0	1.0	69.0	66.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	56	3.81	1001	05/07/2021 15:00	29		4.0	29.0	5.0	8.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	69	3.82	1002	05/07/2021 15:00	54	9.0	5.0		42.0	54.0	10.0	1
Hà Nội	('21.0491', '105.8831')	32.01	51	5.34	1001	05/07/2021 15:00	14	8.0	11.0	14.0	7.0	7.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	53	5.99	1001	05/07/2021 15:00	46	1.0	2.0	15.0	46.0	33.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	53	5.99	1001	05/07/2021 14:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	21.48	96	0.93	1005	05/07/2021 16:00	16	3.0	8.0	9.0	16.0	15.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	34.0	55	3.09	1002	05/07/2021 16:00	33	5.0	11.0	23.0	26.0	33.0	28.0	2
Cao Bằng	('22.6782', '106.245')	29.16	88	1.49	1003	05/07/2021 16:00	64		0.0	1.0	64.0	61.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	60	3.64	1000	05/07/2021 16:00	28		6.0	28.0	5.0	9.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	71	3.16	1001	05/07/2021 16:00	67	8.0	4.0		49.0	67.0	7.0	1
Hà Nội	('21.0491', '105.8831')	33.01	50	5.29	1001	05/07/2021 16:00	12	12.0	11.0	11.0	9.0	7.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	52	5.52	1001	05/07/2021 16:00	43	1.0	2.0	17.0	43.0	40.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	52	5.52	1001	05/07/2021 15:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	21.22	96	0.48	1006	05/07/2021 17:00	14	2.0	5.0	8.0	13.0	13.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	31.0	70	4.12	1003	05/07/2021 17:00	33	6.0	11.0	22.0	24.0	33.0	28.0	2
Cao Bằng	('22.6782', '106.245')	28.24	90	0.92	1003	05/07/2021 17:00	57		0.0	1.0	57.0	55.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	63	2.94	1001	05/07/2021 17:00	28		7.0	28.0	6.0	10.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	72	2.59	1002	05/07/2021 17:00	67	6.0	4.0		49.0	67.0	5.0	1
Hà Nội	('21.0491', '105.8831')	32.01	55	5.01	1001	05/07/2021 17:00	18	8.0	11.0	18.0	9.0	7.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	57	5.1	1002	05/07/2021 17:00	49	1.0	2.0	18.0	43.0	49.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	57	5.1	1002	05/07/2021 16:00	63	8.0		20.0	1.0	2.0	63.0	1
Gia Lai	('13.998599', '107.996482')	20.86	96	0.87	1006	05/07/2021 18:00	17	5.0	10.0	5.0	17.0	14.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	74	2.57	1003	05/07/2021 18:00	39	4.0	11.0	17.0	30.0	39.0	28.0	2
Cao Bằng	('22.6782', '106.245')	26.67	93	0.61	1004	05/07/2021 18:00	75		0.0	1.0	75.0	65.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	67	2.66	1002	05/07/2021 18:00	32		8.0	32.0	6.0	10.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	75	2.4	1003	05/07/2021 18:00	52	5.0	6.0		38.0	52.0	5.0	1
Hà Nội	('21.0491', '105.8831')	31.01	59	4.88	1002	05/07/2021 18:00	16	8.0	11.0	16.0	11.0	9.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	62	5.23	1003	05/07/2021 18:00	58	1.0	3.0	18.0	47.0	58.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	62	5.23	1003	05/07/2021 17:00	64	8.0		19.0	1.0	2.0	64.0	1
Gia Lai	('13.998599', '107.996482')	21.28	94	0.52	1007	05/07/2021 19:00	15	4.0	9.0	4.0	15.0	15.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	74	2.57	1004	05/07/2021 19:00	33	6.0	11.0	14.0	22.0	33.0	28.0	2
Cao Bằng	('22.6782', '106.245')	26.19	94	0.8	1006	05/07/2021 19:00	93		0.0	1.0	93.0	73.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	74	2.41	1003	05/07/2021 19:00	24		11.0	24.0	9.0	15.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	77	2.51	1004	05/07/2021 19:00	41	6.0	9.0		32.0	41.0	4.0	1
Hà Nội	('21.0491', '105.8831')	31.01	63	4.9	1004	05/07/2021 19:00	14	14.0	11.0	10.0	10.0	10.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	66	5.18	1004	05/07/2021 19:00	71	2.0	5.0	16.0	53.0	71.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	66	5.18	1004	05/07/2021 18:00	63	8.0		18.0	1.0	2.0	63.0	1
Gia Lai	('13.998599', '107.996482')	21.29	94	0.68	1007	05/07/2021 20:00	18	4.0	10.0	5.0	15.0	18.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	74	1.03	1005	05/07/2021 20:00	28	3.0	11.0	17.0	17.0	27.0	28.0	2
Cao Bằng	('22.6782', '106.245')	25.98	94	0.67	1006	05/07/2021 20:00	115		0.0	1.0	115.0	86.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	78	3.04	1004	05/07/2021 20:00	27		10.0	27.0	11.0	19.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	78	2.75	1005	05/07/2021 20:00	37	5.0	10.0		33.0	37.0	8.0	1
Hà Nội	('21.0491', '105.8831')	30.01	68	4.29	1004	05/07/2021 20:00	12	8.0	11.0	12.0	10.0	11.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	71	4.35	1004	05/07/2021 20:00	93	3.0	10.0	14.0	64.0	93.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	71	4.35	1004	05/07/2021 19:00	63	8.0		20.0	1.0	2.0	63.0	1
Gia Lai	('13.998599', '107.996482')	20.61	96	0.26	1008	05/07/2021 21:00	19	3.0	8.0	5.0	14.0	19.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	74	0.51	1006	05/07/2021 21:00	28	1.0	11.0	14.0	15.0	24.0	28.0	2
Cao Bằng	('22.6782', '106.245')	25.76	94	0.57	1007	05/07/2021 21:00	110		0.0	1.0	110.0	83.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	81	2.94	1005	05/07/2021 21:00	28		6.0	28.0	10.0	17.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	81	1.9	1006	05/07/2021 21:00	45	6.0	9.0		39.0	45.0	6.0	1
Hà Nội	('21.0491', '105.8831')	30.01	72	3.56	1005	05/07/2021 21:00	13	10.0	11.0	8.0	12.0	13.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	75	3.57	1005	05/07/2021 21:00	95	3.0	19.0	12.0	73.0	95.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	75	3.57	1005	05/07/2021 20:00	51	8.0		20.0	1.0	2.0	51.0	1
Gia Lai	('13.998599', '107.996482')	20.66	97	0.25	1008	05/07/2021 22:00	18	2.0	7.0	5.0	14.0	18.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	79	1.03	1005	05/07/2021 22:00	28	3.0	10.0	14.0	13.0	22.0	28.0	2
Cao Bằng	('22.6782', '106.245')	25.54	95	0.73	1007	05/07/2021 22:00	114		0.0	1.0	114.0	89.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	28.92	82	2.46	1005	05/07/2021 22:00	26		7.0	26.0	9.0	16.0		1
Thái Nguyên	('21.593151', '105.8431043')	28.88	83	1.28	1005	05/07/2021 22:00	54	6.0	9.0		46.0	54.0	4.0	1
Hà Nội	('21.0491', '105.8831')	29.01	76	2.88	1005	05/07/2021 22:00	17	9.0	11.0	8.0	14.0	17.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.06	79	2.69	1005	05/07/2021 22:00	86	3.0	11.0	13.0	67.0	86.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	29.06	79	2.69	1005	05/07/2021 21:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	20.19	98	0.71	1007	05/07/2021 23:00	15	1.0	4.0	10.0	11.0	15.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	79	0.51	1004	05/07/2021 23:00	28	1.0	11.0	13.0	14.0	24.0	28.0	2
Cao Bằng	('22.6782', '106.245')	25.27	96	0.49	1006	05/07/2021 23:00	100		0.0	1.0	100.0	84.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	84	2.18	1005	05/07/2021 23:00	27		7.0	27.0	9.0	15.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	85	1.15	1005	05/07/2021 23:00	60	9.0	10.0		50.0	60.0	6.0	1
Hà Nội	('21.0491', '105.8831')	30.01	78	2.72	1005	05/07/2021 23:00	19	7.0	11.0	8.0	15.0	19.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	81	2.55	1005	05/07/2021 23:00	82	2.0	6.0	13.0	61.0	82.0	35.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	81	2.55	1005	05/07/2021 22:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	23.38	86	2.5	1007	06/07/2021 09:00	15	2.0	6.0	14.0	14.0	12.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	26.0	89	1.54	1006	06/07/2021 09:00	35	2.0	10.0	11.0	23.0	35.0	28.0	2
Cao Bằng	('22.6782', '106.245')	31.55	61	1.86	1006	06/07/2021 09:00	98		0.0	1.0	98.0	90.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	62	2.6	1005	06/07/2021 09:00	23		8.0	17.0	12.0	23.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	62	2.81	1005	06/07/2021 09:00	97	6.0	5.0		58.0	97.0	6.0	1
Hà Nội	('21.0491', '105.8831')	32.01	53	3.15	1005	06/07/2021 09:00	30	18.0	11.0	8.0	23.0	30.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	54	3.4	1005	06/07/2021 09:00	87	2.0	20.0	10.0	67.0	87.0	45.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	54	3.4	1005	06/07/2021 08:00	63	7.0		20.0	2.0	4.0	63.0	1
Gia Lai	('13.998599', '107.996482')	25.29	75	2.85	1007	06/07/2021 10:00	14	2.0	5.0	14.0	14.0	12.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	26.0	94	1.54	1006	06/07/2021 10:00	34	8.0	11.0	8.0	22.0	34.0	30.0	2
Cao Bằng	('22.6782', '106.245')	32.74	57	1.94	1006	06/07/2021 10:00	86		0.0	1.0	86.0	82.0	0.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	59	3.22	1004	06/07/2021 10:00	23		10.0	22.0	12.0	23.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	59	2.97	1005	06/07/2021 10:00	82	4.0	5.0		55.0	82.0	10.0	1
Hà Nội	('21.0491', '105.8831')	33.01	49	3.0	1004	06/07/2021 10:00	24	12.0	11.0	9.0	21.0	24.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	49	3.14	1004	06/07/2021 10:00	89	2.0	20.0	11.0	65.0	89.0	51.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	49	3.14	1004	06/07/2021 09:00	63	8.0		20.0	1.0	3.0	63.0	1
Gia Lai	('13.998599', '107.996482')	26.63	69	3.49	1006	06/07/2021 11:00	14	3.0	7.0	13.0	14.0	12.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	26.0	89	2.57	1005	06/07/2021 11:00	30	4.0	11.0	8.0	18.0	28.0	30.0	2
Cao Bằng	('22.6782', '106.245')	33.43	53	2.13	1005	06/07/2021 11:00	81		0.0	1.0	81.0	65.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	55	2.88	1003	06/07/2021 11:00	25		9.0	25.0	14.0	25.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	53	2.56	1004	06/07/2021 11:00	58	3.0	3.0		45.0	58.0	5.0	1
Hà Nội	('21.0491', '105.8831')	33.01	47	2.5	1003	06/07/2021 11:00	22	13.0	11.0	9.0	21.0	22.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	45	3.03	1003	06/07/2021 11:00	91	2.0	18.0	11.0	65.0	91.0	54.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	45	3.03	1003	06/07/2021 10:00	64	9.0		20.0	1.0	3.0	64.0	1
Gia Lai	('13.998599', '107.996482')	25.91	78	3.59	1005	06/07/2021 12:00	14	2.0	5.0	12.0	13.0	12.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	89	1.54	1004	06/07/2021 12:00	35	11.0	10.0	7.0	21.0	35.0	31.0	2
Cao Bằng	('22.6782', '106.245')	33.2	54	1.64	1004	06/07/2021 12:00	88		0.0	1.0	88.0	58.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	53	2.53	1002	06/07/2021 12:00	27		11.0	27.0	13.0	24.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	50	2.2	1003	06/07/2021 12:00	51	4.0	2.0		39.0	51.0	4.0	1
Hà Nội	('21.0491', '105.8831')	33.01	45	1.76	1002	06/07/2021 12:00	20	12.0	11.0	13.0	20.0	20.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	42	2.85	1002	06/07/2021 12:00	96	2.0	13.0	15.0	64.0	96.0	49.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	42	2.85	1002	06/07/2021 11:00	65	8.0		20.0	2.0	6.0	65.0	1
Gia Lai	('13.998599', '107.996482')	25.3	84	3.61	1005	06/07/2021 13:00	14	2.0	4.0	11.0	12.0	11.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	83	2.57	1003	06/07/2021 13:00	32	5.0	11.0	9.0	19.0	32.0	29.0	2
Cao Bằng	('22.6782', '106.245')	35.86	43	1.68	1002	06/07/2021 13:00	82		0.0	1.0	82.0	50.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	48	1.48	1001	06/07/2021 13:00	39		12.0	39.0	12.0	21.0		1
Thái Nguyên	('21.593151', '105.8431043')	33.88	44	1.79	1002	06/07/2021 13:00	49	4.0	1.0		36.0	49.0	4.0	1
Hà Nội	('21.0491', '105.8831')	34.01	43	3.84	1001	06/07/2021 13:00	16	7.0	11.0	13.0	15.0	16.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.06	41	4.97	1001	06/07/2021 13:00	93	1.0	9.0	17.0	62.0	93.0	40.0	1
